,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,labelAtaxicGait,labelBradykinesia,labelFreezingOfGait,labelMuscleAtrophy,labelMyopathicGait,labelNoPathologicalGait,labelSittingWithTremor
1970-01-01 00:00:00.000,-0.20889083999999999,0.13049363999999999,0.9732891600000001,1.1648000000000001,-5.5776000000000012,0.30659999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:00.500,-0.24874823999999995,0.12582836,0.94934056000000011,4.7138,13.2552,-14.912799999999999,0,0,1,0,0,0,0
1970-01-01 00:00:01.000,-0.29566944000000001,0.12640908000000001,0.95340559999999996,-4.0642000000000014,-3.0786000000000002,-1.0331999999999997,0,0,1,0,0,0,0
1970-01-01 00:00:01.500,-0.24109395999999997,0.12579175999999997,0.96980971999999999,-0.46479999999999932,-18.433800000000002,-9.1013999999999999,0,0,1,0,0,0,0
1970-01-01 00:00:02.000,-0.25623415999999999,0.12645055999999999,0.96031324000000007,15.807399999999999,18.680199999999999,-7.0896000000000017,0,0,1,0,0,0,0
1970-01-01 00:00:02.500,-0.36655632000000005,0.13467824,0.91930416000000004,-7.6706000000000021,-5.7581999999999995,-0.33460000000000006,0,0,1,0,0,0,0
1970-01-01 00:00:03.000,-0.32468591999999996,0.12332736000000001,0.92844684000000011,1.6603999999999997,-15.605800000000002,-10.6736,0,0,1,0,0,0,0
1970-01-01 00:00:03.500,-0.26534024,0.10845068000000001,0.96848235999999999,1.1312,-12.0512,-4.1887999999999996,0,0,1,0,0,0,0
1970-01-01 00:00:04.000,-0.30936271999999998,0.12209271999999999,0.96983655999999996,1.9222000000000008,-16.289000000000001,7.5977999999999986,0,0,1,0,0,0,0
1970-01-01 00:00:04.500,-0.23044336000000001,0.12230255999999999,0.97224727999999994,-0.23940000000000011,-0.64820000000000011,-3.4790000000000005,0,0,1,0,0,0,0
1970-01-01 00:00:05.000,-0.29934652000000006,0.13323863999999999,0.94851096000000001,5.283599999999999,-2.3561999999999999,-11.2826,0,0,1,0,0,0,0
1970-01-01 00:00:05.500,-0.26685059999999999,0.12968844000000002,0.96354868000000016,-0.20720000000000013,24.494399999999999,3.9325999999999994,0,0,1,0,0,0,0
1970-01-01 00:00:06.000,-0.39567771999999996,0.14398440000000001,0.86660015999999984,7.5250000000000004,1.5050000000000023,-16.245600000000003,0,0,1,0,0,0,0
1970-01-01 00:00:06.500,-0.25115164000000001,0.088015679999999999,0.99214303999999998,-3.8738000000000001,-25.328800000000001,-4.7809999999999988,0,0,1,0,0,0,0
1970-01-01 00:00:07.000,-0.34166831999999997,0.082464679999999985,0.95499891999999986,-2.3211999999999997,-27.60939999999999,-4.8453999999999988,0,0,1,0,0,0,0
1970-01-01 00:00:07.500,-0.25938664,0.091502440000000004,0.96792847999999987,-3.6595999999999997,-0.075599999999999931,-4.8285999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:08.000,-0.30468035999999998,0.10773331999999998,0.94305999999999979,6.8880000000000008,-4.7418000000000005,-2.6124000000000001,0,0,1,0,0,0,0
1970-01-01 00:00:08.500,-0.24326068000000003,0.10647916,0.9767246799999999,2.0314000000000001,3.1093999999999995,-2.4163999999999999,0,0,1,0,0,0,0
1970-01-01 00:00:09.000,-0.33390912,0.14511656000000001,0.86713940000000012,15.036,50.37619999999999,-23.3156,0,0,1,0,0,0,0
1970-01-01 00:00:09.500,-0.35712083999999999,0.10258492000000001,0.91219156000000001,-17.9816,-47.377399999999994,19.408200000000001,0,0,1,0,0,0,0
1970-01-01 00:00:10.000,-0.17827615999999999,0.13324596,1.0176898399999998,-1.4671999999999996,25.233599999999996,-14.669200000000004,0,0,1,0,0,0,0
1970-01-01 00:00:10.500,-0.41173779999999993,0.096289720000000009,0.92441351999999999,1.8872000000000007,-66.157000000000011,10.488799999999999,0,0,1,0,0,0,0
1970-01-01 00:00:11.000,-0.23129003999999997,0.11033924000000001,0.9779324800000001,2.9498000000000002,8.0094000000000012,-1.5161999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:11.500,-0.33614660000000002,0.12404472,0.87218531999999993,-1.8899999999999999,48.343400000000003,-10.822000000000001,0,0,1,0,0,0,0
1970-01-01 00:00:12.000,-0.34492084000000006,0.087190959999999998,0.94498759999999993,-4.5877999999999997,-62.766199999999998,10.458000000000002,0,0,1,0,0,0,0
1970-01-01 00:00:12.500,-0.37370063999999997,0.09459635999999999,0.91893083999999992,-2.6683999999999997,1.4139999999999966,12.541200000000003,0,0,1,0,0,0,0
1970-01-01 00:00:13.000,-0.24004475999999997,0.099935080000000023,0.97664171999999994,-1.4728000000000001,-12.324199999999998,-8.6618000000000013,0,0,1,0,0,0,0
1970-01-01 00:00:13.500,-0.34105831999999997,0.10799927999999999,0.93414179999999969,-1.9194,-5.9807999999999995,-1.7863999999999995,0,0,1,0,0,0,0
1970-01-01 00:00:14.000,-0.21511772000000001,0.09411812,0.99627396000000001,4.2938000000000001,10.7996,-1.9796,0,0,1,0,0,0,0
1970-01-01 00:00:14.500,-0.37024803999999994,0.10675244,0.89739295999999991,-12.159000000000001,-24.663799999999995,8.3719999999999999,0,0,1,0,0,0,0
1970-01-01 00:00:15.000,-0.23191223999999999,0.10438075999999999,0.97736640000000008,7.3010000000000002,45.004399999999997,-10.514000000000001,0,0,1,0,0,0,0
1970-01-01 00:00:15.500,-0.34675816000000004,0.090223879999999992,0.92016060000000011,-6.5702000000000007,-55.34340000000001,4.9168000000000003,0,0,1,0,0,0,0
1970-01-01 00:00:16.000,-0.32603279999999996,0.093181160000000013,0.94061267999999987,7.2519999999999989,-7.0139999999999993,-11.352600000000002,0,0,1,0,0,0,0
1970-01-01 00:00:16.500,-0.23900288,0.097692719999999997,0.97851563999999991,11.802,19.244399999999999,-26.665800000000001,0,0,1,0,0,0,0
1970-01-01 00:00:17.000,-0.27109376000000002,0.11241080000000001,0.97244735999999998,-4.2377999999999991,16.321199999999997,-1.1633999999999987,0,0,1,0,0,0,0
1970-01-01 00:00:17.500,-0.38373636,0.088501240000000009,0.88522712000000003,-8.1745999999999999,-33.263999999999996,26.891199999999998,0,0,1,0,0,0,0
1970-01-01 00:00:18.000,-0.24302156000000003,0.11022944000000001,0.97048559999999995,0.35280000000000006,-3.1150000000000002,-2.653,0,0,1,0,0,0,0
1970-01-01 00:00:18.500,-0.24939728000000003,0.12697027999999999,0.95992772000000004,3.4734000000000003,-5.3452000000000002,-21.315000000000005,0,0,1,0,0,0,0
1970-01-01 00:00:19.000,-0.25311828000000003,0.10556415999999999,0.96778940000000002,1.5330000000000001,-4.8412000000000006,-1.7556,0,0,1,0,0,0,0
1970-01-01 00:00:19.500,-0.30224280000000003,0.13303611999999998,0.93254115999999987,4.9476000000000022,-5.5720000000000001,-13.871199999999998,0,0,1,0,0,0,0
1970-01-01 00:00:20.000,-0.27954592,0.11233028,0.92967172000000009,2.6207999999999987,-2.2413999999999983,-10.581200000000001,0,0,1,0,0,0,0
1970-01-01 00:00:20.500,-0.28479435999999991,0.12363723999999998,0.95616279999999998,6.4400000000000004,8.1227999999999998,-4.1845999999999997,0,0,1,0,0,0,0
1970-01-01 00:00:21.000,-0.30140100000000003,0.11861328,0.95064840000000006,-2.5927999999999995,-24.560200000000005,1.2949999999999999,0,0,1,0,0,0,0
