,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,labelAtaxicGait,labelBradykinesia,labelFreezingOfGait,labelMuscleAtrophy,labelMyopathicGait,labelNoPathologicalGait,labelSittingWithTremor
1970-01-01 00:00:00.000,-0.22120064,-0.027962400000000002,-0.95535515999999998,1.0849999999999995,-10.992799999999999,-17.599399999999999,0,0,1,0,0,0,0
1970-01-01 00:00:00.500,-0.25126875999999998,-0.057305840000000004,-0.93211172000000009,-9.9847999999999999,2.5564,-0.63699999999999979,0,0,1,0,0,0,0
1970-01-01 00:00:01.000,-0.27666916000000003,-0.032112840000000011,-0.94358704000000015,0.43820000000000009,4.5192000000000005,4.4996,0,0,1,0,0,0,0
1970-01-01 00:00:01.500,-0.22861823999999997,-0.022770080000000009,-0.95725347999999988,1.0038,-3.0884000000000005,0.039200000000000103,0,0,1,0,0,0,0
1970-01-01 00:00:02.000,-0.21405631999999997,-0.024990480000000002,-0.95933723999999998,-1.8199999999999996,-1.6785999999999999,1.6869999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:02.500,-0.23803907999999996,-0.025729799999999997,-0.95458900000000013,-1.3593999999999999,0.82880000000000009,1.1101999999999999,0,0,1,0,0,0,0
1970-01-01 00:00:03.000,-0.22091028000000001,-0.020069,-0.95952755999999995,-1.9319999999999999,-0.54460000000000008,2.7887999999999993,0,0,1,0,0,0,0
1970-01-01 00:00:03.500,-0.24745747999999998,-0.047999679999999989,-0.94548292000000023,-3.3586,-9.4038000000000004,-15.825599999999998,0,0,1,0,0,0,0
1970-01-01 00:00:04.000,-0.23605048000000001,-0.024646440000000006,-0.94231824000000008,-6.493199999999999,-1.5176000000000016,-0.27999999999999964,0,0,1,0,0,0,0
1970-01-01 00:00:04.500,-0.17797116000000002,-0.032632560000000012,-0.95434743999999982,0.39479999999999948,11.463199999999999,4.9210000000000003,0,0,1,0,0,0,0
1970-01-01 00:00:05.000,-0.23909560000000002,-0.040982239999999989,-0.94894772000000005,-5.609799999999999,-15.161999999999999,-6.906200000000001,0,0,1,0,0,0,0
1970-01-01 00:00:05.500,-0.23224407999999999,-0.027054719999999997,-0.95574555999999999,-2.1335999999999999,-5.9094000000000024,-10.152800000000003,0,0,1,0,0,0,0
1970-01-01 00:00:06.000,-0.24269215999999999,-0.033059560000000002,-0.94576596000000024,-2.2637999999999998,9.2189999999999994,-5.875799999999999,0,0,1,0,0,0,0
1970-01-01 00:00:06.500,-0.25280596000000005,-0.019724960000000003,-0.94882815999999992,-6.1936,-0.8819999999999999,-10.9802,0,0,1,0,0,0,0
1970-01-01 00:00:07.000,-0.32897543999999995,-0.0047384800000000006,-0.90183620000000009,-4.0894000000000004,-8.9193999999999978,-1.2180000000000002,0,0,1,0,0,0,0
1970-01-01 00:00:07.500,-0.43778480000000003,-0.0031866399999999988,-0.84870763999999999,-1.8326,-20.652800000000003,-3.3432000000000004,0,0,1,0,0,0,0
1970-01-01 00:00:08.000,-0.38550048000000003,-0.015764839999999999,-0.87836584000000018,4.0529999999999999,9.6151999999999997,3.0814000000000004,0,0,1,0,0,0,0
1970-01-01 00:00:08.500,-0.36853516000000008,-0.043734559999999999,-0.91359699999999988,1.2627999999999995,22.003800000000002,12.601400000000002,0,0,1,0,0,0,0
1970-01-01 00:00:09.000,-0.15942716000000001,-0.025829839999999982,-0.96043036000000004,13.053600000000001,-2.0285999999999955,36.020600000000002,0,0,1,0,0,0,0
1970-01-01 00:00:09.500,-0.21405144000000001,-0.043783360000000007,-0.95291271999999994,-9.4948000000000015,2.5801999999999987,-12.7372,0,0,1,0,0,0,0
1970-01-01 00:00:10.000,-0.28822499999999995,-0.036033920000000004,-0.94677856000000016,5.9877999999999973,-24.400600000000004,8.3873999999999995,0,0,1,0,0,0,0
1970-01-01 00:00:10.500,-0.27077656,-0.02277496,-0.93791160000000007,-1.7373999999999998,5.4249999999999989,-6.6429999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:11.000,-0.24104272000000002,-0.018597680000000005,-0.94922099999999998,-6.4497999999999998,2.8839999999999986,-1.7359999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:11.500,-0.32217028000000009,-0.0204838,-0.91375804000000005,-0.5726,-8.2949999999999999,-13.8796,0,0,1,0,0,0,0
1970-01-01 00:00:12.000,-0.26279044000000001,-0.056800759999999999,-0.94661507999999994,10.9634,1.6898000000000009,17.239600000000003,0,0,1,0,0,0,0
1970-01-01 00:00:12.500,-0.22601476000000001,-0.02932392,-0.94656871999999992,0.1973999999999998,-0.51800000000000013,20.2958,0,0,1,0,0,0,0
1970-01-01 00:00:13.000,-0.19194503999999998,-0.025942079999999992,-0.95053371999999992,-0.44939999999999924,9.5101999999999975,-1.8368000000000004,0,0,1,0,0,0,0
1970-01-01 00:00:13.500,-0.23979831999999998,-0.015237800000000001,-0.95018723999999988,-3.9493999999999998,-8.974000000000002,1.7387999999999997,0,0,1,0,0,0,0
1970-01-01 00:00:14.000,-0.50142487999999996,-0.019776200000000001,-0.72856448000000018,-7.7490000000000006,-130.78799999999998,-8.514800000000001,0,0,1,0,0,0,0
1970-01-01 00:00:14.500,-0.50721499999999997,-0.0024424399999999997,-0.79111144,-7.7741999999999996,51.041199999999996,-3.9045999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:15.000,-0.52303596000000008,0.02016416,-0.78838107999999996,5.9682000000000004,10.025400000000001,7.4032000000000009,0,0,1,0,0,0,0
1970-01-01 00:00:15.500,-0.54227048,0.0092329600000000019,-0.79680883999999996,1.3692,-9.2595999999999989,-1.6869999999999996,0,0,1,0,0,0,0
