,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,labelAtaxicGait,labelBradykinesia,labelFreezingOfGait,labelMuscleAtrophy,labelMyopathicGait,labelNoPathologicalGait,labelSittingWithTremor
1970-01-01 00:00:00.000,-0.2565538,-0.12430824,-0.91429972000000004,-7.4984000000000028,20.2944,-39.559799999999996,0,0,1,0,0,0,0
1970-01-01 00:00:00.500,-0.50558263999999997,0.011006839999999993,-0.88193556000000006,-17.050599999999996,6.4147999999999987,-23.263799999999996,0,0,1,0,0,0,0
1970-01-01 00:00:01.000,-0.31949847999999997,-0.037307600000000003,-0.93519588000000009,0.85119999999999996,1.0149999999999999,-1.6212,0,0,1,0,0,0,0
1970-01-01 00:00:01.500,-0.31216628000000002,-0.032698440000000002,-0.93661839999999996,-2.3800000000000003,-0.77980000000000005,1.5245999999999997,0,0,1,0,0,0,0
1970-01-01 00:00:02.000,-0.31109268000000001,-0.028816399999999999,-0.93779692000000014,0.84840000000000004,-1.8746,-0.20720000000000002,0,0,1,0,0,0,0
1970-01-01 00:00:02.500,-0.39276192000000004,-0.028235679999999999,-0.90172151999999994,10.644200000000001,-52.288599999999988,7.6705999999999985,0,0,1,0,0,0,0
1970-01-01 00:00:03.000,-0.58523887999999991,-0.07857776000000001,-0.77812331999999995,-1.5106000000000004,-32.474399999999996,-0.2085999999999997,0,0,1,0,0,0,0
1970-01-01 00:00:03.500,-0.50502144000000004,-0.045276640000000007,-0.84513060000000007,-2.0663999999999998,38.880800000000001,-4.2657999999999996,0,0,1,0,0,0,0
1970-01-01 00:00:04.000,-0.46497616000000003,-0.088364600000000001,-0.91760592000000007,-8.5553999999999988,36.087800000000001,-12.8226,0,0,1,0,0,0,0
1970-01-01 00:00:04.500,-0.4662596,0.039615839999999999,-0.88041300000000011,-5.4613999999999985,3.4201999999999995,-8.4615999999999989,0,0,1,0,0,0,0
1970-01-01 00:00:05.000,-0.33421412000000006,-0.012453760000000001,-0.93125283999999997,-1.0289999999999999,0.99959999999999993,1.0429999999999999,0,0,1,0,0,0,0
1970-01-01 00:00:05.500,-0.31878111999999997,-0.0068149199999999995,-0.93508363999999999,-1.232,1.6926000000000001,-0.35560000000000003,0,0,1,0,0,0,0
1970-01-01 00:00:06.000,-0.30788163999999996,-0.0064586799999999988,-0.93928044000000011,1.6323999999999999,1.204,1.7247999999999999,0,0,1,0,0,0,0
1970-01-01 00:00:06.500,-0.31806619999999997,-0.012956400000000002,-0.93789696000000011,0.42139999999999989,-0.16800000000000007,1.7402000000000002,0,0,1,0,0,0,0
1970-01-01 00:00:07.000,-0.30794751999999997,-0.015245120000000001,-0.93516660000000007,18.7698,-59.542000000000002,-1.4938000000000002,0,0,1,0,0,0,0
1970-01-01 00:00:07.500,-0.56565544000000001,-0.045252239999999999,-0.86062948000000006,-4.9084000000000003,42.659399999999998,14.337400000000002,0,0,1,0,0,0,0
1970-01-01 00:00:08.000,-0.29791911999999998,-0.014883999999999998,-0.94461428000000003,5.1113999999999997,5.3185999999999991,-6.9005999999999998,0,0,1,0,0,0,0
1970-01-01 00:00:08.500,-0.31857128000000001,-0.034028240000000001,-0.93643540000000003,0.70979999999999988,-3.2564000000000006,0.86519999999999997,0,0,1,0,0,0,0
